carat,cut,color,clarity,depth,table,x,y,z,price
low,ideal,e,si2,medium,medium,low,low,low,low
low,premium,e,si1,low,medium,low,low,low,low
low,good,e,vs1,low,high,medium,medium,low,low
low,premium,i,vs2,medium,medium,medium,medium,medium,low
medium,good,j,si2,medium,medium,medium,medium,medium,low
low,very_good,j,vvs2,medium,medium,low,low,low,low
low,very_good,i,vvs1,medium,medium,low,low,low,low
low,very_good,h,si1,medium,medium,medium,medium,medium,low
low,fair,e,vs2,high,medium,low,low,low,low
low,very_good,h,vs1,low,medium,medium,medium,low,low
medium,premium,h,si1,medium,medium,medium,medium,medium,medium
medium,good,h,si1,medium,medium,medium,medium,medium,medium
low,very_good,f,vvs2,low,medium,medium,medium,low,medium
low,very_good,e,vvs2,low,medium,medium,medium,medium,medium
low,very_good,d,vvs2,medium,low,medium,medium,medium,medium
low,very_good,d,vvs2,medium,medium,medium,medium,medium,medium
low,very_good,e,vvs1,medium,medium,medium,medium,medium,medium
low,very_good,e,vvs1,medium,medium,medium,medium,medium,medium
low,very_good,d,vvs1,medium,medium,medium,medium,medium,medium
low,ideal,e,vvs2,medium,medium,medium,medium,medium,medium
medium,ideal,i,si2,medium,medium,medium,medium,medium,medium
low,good,e,vvs1,low,medium,medium,medium,low,medium
low,premium,g,vvs1,medium,medium,low,low,low,medium
low,premium,h,vvs1,medium,medium,medium,low,low,medium
low,premium,h,vvs1,medium,medium,medium,medium,low,medium
low,premium,h,vvs2,medium,medium,medium,medium,low,medium
medium,premium,i,si1,medium,medium,medium,medium,medium,medium
high,ideal,e,si1,medium,medium,medium,medium,medium,high
high,fair,e,si2,low,high,high,high,medium,high
high,ideal,g,vs2,medium,medium,medium,medium,medium,high
high,very_good,e,vs2,medium,medium,medium,medium,medium,high
high,very_good,g,si2,medium,medium,medium,medium,medium,high
high,good,e,vs2,low,medium,medium,medium,medium,high
high,good,f,vs1,low,medium,medium,medium,medium,high
high,fair,f,si2,high,medium,high,medium,high,high
high,very_good,e,si1,medium,medium,medium,medium,medium,high
high,premium,h,si1,medium,medium,medium,medium,medium,high
high,very_good,d,si1,medium,medium,medium,medium,medium,high
high,premium,e,si1,low,low,high,medium,medium,high
high,ideal,g,si1,medium,medium,medium,medium,medium,high
high,premium,g,vs2,medium,medium,medium,medium,medium,high
high,ideal,i,vs1,medium,medium,medium,medium,medium,high
high,ideal,g,si1,medium,medium,medium,medium,medium,high
high,premium,g,si1,medium,medium,medium,medium,medium,high
high,ideal,i,vvs2,medium,medium,medium,medium,medium,high
high,ideal,f,si2,low,medium,high,high,medium,high
medium,ideal,e,vvs2,medium,medium,medium,medium,medium,high
high,ideal,f,si2,medium,medium,medium,high,medium,high
medium,premium,f,vs2,medium,medium,medium,medium,medium,medium
medium,ideal,f,vs2,medium,medium,medium,medium,medium,medium
